"dsrc","domain","length","dicts","entropy","numbers","ngram"
"bamital","949759d12e0ea541f49675fe4e71a65c",32,0,3.51531953111478,22,0
"bamital","cbaa81d976688b971a43a745795cbb0f",32,0.09375,3.64031953111478,20,0.477121254719662
"bamital","0a175898661ddbad1b3bd99d14d62c6e",32,0.15625,3.59313906222957,19,0.845098040014257
"bamital","c5ee32668c5130c95a9d7eaf91e6b531",32,0,3.69454882778696,20,0.477121254719662
"bamital","b1939fbdf8b57c2683abb9b041aa8518",32,0.1875,3.63204882778696,19,0.903089986991944
"bamital","de679d29345e1e23210605d0bd3492f2",32,0,3.54283779740342,23,0
"bamital","c6e3c692b5e3746f300d75cf8534b25d",32,0,3.70281953111478,21,0
"bamital","ab4bb7b829e5352d2000f8549e9b85f2",32,0,3.50392803184602,21,0
"bamital","3ae1ae97493de4e58bc8bca646c093f5",32,0,3.75704882778696,18,0.778151250383644
"bamital","6bd0d47a15138ea1215b2a6a5981a9e4",32,0,3.62580723590509,21,0
"bamital","41ffe82b9b451b40fa6dc8a7edae9924",32,0.125,3.75704882778696,17,2.47712125471966
"bamital","e5e88511cf53bd655693b7bc0e90e374",32,0,3.65251826628863,21,0
"bamital","3995676f3d8a1665d20cafe0b37b3d8c",32,0.125,3.78890976555739,20,3.25887662937213
"bamital","8ccf70de5e3c97f3905f60403ae68a24",32,0.09375,3.71813906222957,20,0
"bamital","8b57d503451072f41b3a164e385b64bc",32,0,3.70281953111478,23,0
"bamital","5fdb9d63de29ca03a73881599f434e31",32,0,3.80110850073124,21,0
"bamital","8d96ea4e31f18868cbe7f3be065861d9",32,0.09375,3.67610850073124,20,0
"bamital","91bfbdf6ac498fe72b37e9ee5136cccf",32,0.21875,3.70281953111478,15,0
"bamital","9fae92c91843e8666e696dca13324300",32,0.1875,3.55110850073124,23,0.778151250383644
"bamital","f9c326a7445faa4a3b2c4d97e3f32053",32,0.09375,3.59001826628863,20,0
"bamital","ac43a68c3058e22aef0355c7170e0048",32,0.09375,3.5581573285182,22,0
"bamital","2ea465ab767d72f5528ef8ee7fde55af",32,0,3.28971700146248,17,0
"bamital","2211105d19615987bcb46d249a1a6f9b",32,0,3.56954882778696,23,0
"bamital","5761cb569c9e29271073f405245cace7",32,0.125,3.64031953111478,23,1.50514997831991
"bamital","73c468598d9ca146ba020dc347da26ce",32,0,3.78063906222957,20,0
"bamital","4a133624d27fc1990e0d1718cfb50ec5",32,0.09375,3.89031953111478,21,0
"bamital","c4fa073ffc822e2d3f13af95017a432d",32,0.09375,3.61360850073124,19,0
"bamital","133dbf713e7db42d718f01dfe0fb4394",32,0.1875,3.42922929667217,19,0
"bamital","d80a6ff051691897514ae83b09d367a7",32,0,3.70986835890174,23,0
"bamital","ae47c6b0d7d88ac3881a332eb69485f1",32,0,3.84001826628863,20,0
"bamital","299815999737646ff8abf5a862ada9d8",32,0.09375,3.46813906222957,22,1.44715803134222
"bamital","26b3a4c651358bf9b0ef0050e02b70c7",32,0,3.67922929667217,21,0
"bamital","1e013803305246284a3bd899cec6775e",32,0.09375,3.80422929667217,24,0
"bamital","1ad973abc82250a6f4863c4460b5d343",32,0.09375,3.76531953111478,22,0.477121254719662
"bamital","7daa3c40b72fbddbce999265fa2256c9",32,0.1875,3.65563906222957,17,0
"bamital","6e3f0b9e62fe7162d30fc2147d3f06b6",32,0,3.54283779740342,20,0
"bamital","cdac5e5b54906f7c8b5b6bab53ccab51",32,0.34375,3.45674756296081,15,3.22530928172586
"bamital","94ace5a358b1a370b10aa30081258827",32,0.09375,3.50392803184602,23,1.50514997831991
"bamital","952adf17da88526a3fb28a4a68002a16",32,0.09375,3.55422929667217,21,0.602059991327962
"bamital","af70f7c6596369da8ae54adb63dcf3ec",32,0.09375,3.65563906222957,16,0.602059991327962
"bamital","c29ba96c1ebd2c647062febbc28d7c32",32,0.15625,3.62580723590509,17,0
"bamital","509c112247bdf7a966ddcefafac877a8",32,0.375,3.74172929667217,17,3.57333584006607
"bamital","88f1e3204afa221713a7cb05ecc5bb17",32,0.1875,3.63204882778696,19,0.602059991327962
"bamital","de4cc1b9d62be81b851d1fa1a77d1a13",32,0,3.58871064191468,17,0
"bamital","fb1d74d91591cbb8871ee17412d1de3f",32,0,3.44012040747207,19,0
"bamital","4c723b6f62fa1e1de7ea2daf59ee1784",32,0,3.70674756296081,17,0
"bamital","4ae2d080efb9cecaaa3dabff9ba54929",32,0.28125,3.50704882778696,13,1.95424250943932
"bamital","9f606eb30d11b7b58538fe669f4f9156",32,0,3.54283779740342,22,0
"bamital","a8a7966908aebf8ce8894688a6aee5d4",32,0,3.31199961153114,19,0
"bamital","72b211b0f52a86caf764243b72257cea",32,0.1875,3.59313906222957,21,1.51851393987789
"bamital","5aacba5e2a87e2f68515380145a02b27",32,0.09375,3.56330723590509,21,0.477121254719662
"bamital","5e1ea42cf1f3443d8cc193442e9be0d8",32,0,3.62892803184602,19,0
"bamital","396fe18bde7e12f702872b41976719a0",32,0.09375,3.62892803184602,23,0
"bamital","56608d61e1e724902609026ad686279e",32,0,3.33871064191468,26,0
"bamital","0ae3680bba9925890df4a65e888ead81",32,0.1875,3.56954882778696,20,2.19312459835446
"bamital","967f49bd758d49ea3ffcfa4225f6109e",32,0.15625,3.80110850073124,19,0
"bamital","66bef43c888dc193ef81cc0c75c811d4",32,0.09375,3.52751826628863,19,0
"bamital","1aafe7bd64fabea4930e0530ee6566c4",32,0.25,3.59001826628863,17,4.23754373814288
"bamital","70fb15d0ea1620bb6f2779bc1e9bed02",32,0.09375,3.54283779740342,18,0.698970004336019
"bamital","3a96fd9d15ffa43084a6c8a88306508b",32,0.09375,3.54283779740342,21,0
"bamital","5d2dbf0f6610395fbafb8b60cda782e8",32,0.34375,3.71813906222957,17,0
"bamital","ee51d6ff6809c7febbbb6fa99dabb3a1",32,0.3125,3.54595859334435,13,1.60205999132796
"bamital","fd5d42a75f7e92a462068905a355965d",32,0,3.52236835890174,23,0
"bamital","dea1463d5c89920232d04450dbfc5285",32,0.1875,3.70281953111478,22,1.36172783601759
"bamital","8564313d58dbb8653e36f2304b2c3a5d",32,0,3.54595859334435,22,0
"bamital","276fb06318e0b31e20ee020cc6b88b8d",32,0,3.40251826628863,20,0
"bamital","31ef0241db237aeb5a3005186e6b0e7f",32,0,3.67922929667217,20,0
"bamital","589bd286d025a3b12312864ef256763a",32,0,3.69142803184602,24,1
"bamital","f797a4b7e003f3166846901a24a2a83b",32,0,3.63204882778696,23,0
"bamital","f8ca4661b43648a635f9e9fa4a473ec1",32,0,3.52751826628863,20,0
"bamital","62a7b345e8bcf1bd5401dee2ca1bfe4e",32,0.1875,3.71501826628863,15,0.954242509439325
"bamital","dc53507c62ec65495a3ba6ed2502cf48",32,0,3.71501826628863,20,0
"bamital","99c1ed769069d19532a234a5636056c6",32,0,3.48033779740342,25,0.778151250383644
"bamital","02c7ee2ee3f166e80143f2c5ed59ade2",32,0.09375,3.6358911107999,18,1.65321251377534
"bamital","1ae9ad5be50b4d8dd8652e15a7e2d6e6",32,0,3.47721700146248,17,0
"bamital","692e8c6b716941ff14a71ca777a0ac60",32,0,3.48860850073124,21,0
"bamital","672b110bde2d8b88bff52c2290670c2d",32,0.09375,3.50704882778696,20,0
"bamital","22d40afd743ae3a5d3005858b974a7d6",32,0.09375,3.63204882778696,21,0
"bamital","b26b95af7d9002b49269c3f1882935d6",32,0,3.71501826628863,23,0
"bamital","5c58843c3fbc60d7924afffcaad3894e",32,0.21875,3.71813906222957,17,1.07918124604762
"bamital","6e32044195ffdc3e7a2054c3048d427d",32,0,3.73033779740342,22,0
"bamital","835525b285395f8bdc6f5f30139fce36",32,0.09375,3.44142803184602,22,0
"bamital","992f1e5484f13d8ed991059ef4617e88",32,0,3.46501826628863,23,0
"bamital","8f64ca9c8cb1721866c9f5cbb099af44",32,0,3.51924756296081,19,0
"bamital","c309175ecd67fbeeb60e69d7b5290fff",32,0.21875,3.56954882778696,17,1.20411998265592
"bamital","72152fe9214c255813680731fded74ca",32,0.09375,3.76531953111478,23,0.602059991327962
"bamital","ce37964667f92583073d86b31ab05ae6",32,0,3.80110850073124,23,0
"bamital","b1257c65ed78615d260172293a3ea6ad",32,0,3.63204882778696,22,0
"bamital","32a01a10ab50749b1e22c9def4d8a45b",32,0.09375,3.75704882778696,19,0.477121254719662
"bamital","ff85fa3dcfebfe002d13e110964f64e1",32,0.125,3.61672929667217,17,0
"bamital","d28d3fd2898565081e589bf2e31202a6",32,0,3.53971700146248,23,0
"bamital","c982af8549c3eb75f8a38d7cebe98075",32,0.09375,3.64424756296081,19,1.7160033436348
"bamital","f869c29ec5dad2da603822aefdf754af",32,0.21875,3.625,16,1.14612803567824
"bamital","d7f4649b54e2f968029c32d3e8103b50",32,0,3.81954882778696,23,0
"bamital","9ff63352c0916459aefcb080f2d56559",32,0.09375,3.65251826628863,22,0
"bamital","64c4f0ecfecc51a40911463dd90c4b19",32,0.1875,3.47721700146248,19,0.954242509439325
"bamital","13106236cd6cb20359f6dd01e93589de",32,0,3.55422929667217,22,0
"bamital","2ea0cc67c485ee340cdcf6a3959b0cd2",32,0.125,3.71813906222957,17,0
"bamital","5ad5e60b4e6cc68dc5a4916083b3440d",32,0,3.59313906222957,20,0
"bamital","544be4e156192836c83a2bf69d93aaac",32,0.09375,3.71813906222957,20,0
"bamital","152072089866061276c8a19111fa6257",32,0,3.26924756296081,28,0
"bamital","e6a41b86388e6c0efbc1f2f3f637ab48",32,0,3.55422929667217,18,0.477121254719662
"bamital","d43d2bf4766212c7655dec645a869ff6",32,0.09375,3.64736835890174,21,1.17609125905568
"bamital","fec56788514828228212784d74b2313a",32,0.09375,3.45986835890174,26,0.954242509439325
"bamital","9ffce55e5504b385d9a8cccb1dafa976",32,0.28125,3.69142803184602,16,0.602059991327962
"bamital","40768490cf9dee13da6f6906f5f996be",32,0.09375,3.60221700146248,20,0.954242509439325
"bamital","69250cd4723eda09988f0066731ce10e",32,0.09375,3.75392803184602,23,1
"bamital","da76627214860e1665f547c30e5f6108",32,0,3.60845859334435,25,0
"bamital","22d3fbc760b2ccc8ac04b3a42085dc4a",32,0.09375,3.48345859334435,17,0.477121254719662
"bamital","d3e58f11b4762feb13cdeb796e2d3ece",32,0.28125,3.60845859334435,16,0.954242509439325
"bamital","30bb24fe471a8da16c5616501b4be0e4",32,0,3.67922929667217,20,0
"bamital","b0b968a4fb4b64ca94b3800ec130108c",32,0,3.41471700146248,20,0
"bamital","c9a54e58459dd3f7eebd97f961500720",32,0,3.78063906222957,21,0.602059991327962
"bamital","323ba76bf50abd1fe7a7eb5a18c4f628",32,0.09375,3.76531953111478,17,0
"bamital","c38a7f66da3a880b3dc709375e6b24e1",32,0,3.84313906222957,20,0
"bamital","f0b89e31f3b4bfcaf5f715c8aae240a0",32,0.21875,3.65251826628863,16,1.04139268515823
"bamital","4ef1c06728a8bdf9c90d40089bc3cc8d",32,0.09375,3.65251826628863,18,0
"bamital","ef0501c1a2207c87c7763b724efc780a",32,0,3.55422929667217,21,0
"bamital","ac77056c68633bb1e34d197e74464ba4",32,0,3.59001826628863,22,0
"bamital","816de4e4def1207beb06d33b83958147",32,0.09375,3.67095859334435,21,0.477121254719662
"bamital","843a5b5f8887ad6a1cff57b4ff16d7d7",32,0.09375,3.44142803184602,18,0
"bamital","58aaa9e025eb449ebbf6408789f1e7b7",32,0.1875,3.56954882778696,19,0
"bamital","fd24aea2545834171bd24271c5a799a0",32,0.09375,3.67922929667217,22,0
"bamital","3282f8eda709a9cf695e9ec1d66ba127",32,0.09375,3.78063906222957,19,1
"bamital","670c57b7e587474c19098fcabf197db4",32,0.125,3.60845859334435,21,0.845098040014257
"bamital","388d5efb662316e7afa7455ade46ebb0",32,0.28125,3.67922929667217,18,2.25527250510331
"bamital","a23cc6cb6f0890a015c7c915b5974d73",32,0,3.73033779740342,21,0
"bamital","3f07d6fd647a749b322204a46c597219",32,0,3.64031953111478,24,0
