"host","src","domain","len","numbers","dicts","entropy"
"espn.com.mx","alexa","espn",4,0,0.75,2
"affiliatefuture.co.uk","alexa","affiliatefuture",15,0,1,2.92323142879762
"cityhouse.cn","alexa","cityhouse",9,0,1,3.16992500144231
"tigmeetinz.com","alexa","tigmeetinz",10,0,0.9,2.72192809488736
"tieba.com","alexa","tieba",5,0,1,2.32192809488736
"comico.jp","alexa","comico",6,0,1,1.91829583405449
"exchangerates.org.uk","alexa","exchangerates",13,0,1,3.18083298720544
"watchcount.com","alexa","watchcount",10,0,1,2.92192809488736
"jobs2careers.com","alexa","jobs2careers",12,1,1,3.08496250072116
"usefulenglish.net","alexa","usefulenglish",13,0,1,3.08505510275648
"mugro.info","alexa","mugro",5,0,1,2.32192809488736
"jobsbus.in","alexa","jobsbus",7,0,1,2.23592635062903
"transbank.cl","alexa","transbank",9,0,1,2.72548055699787
"adultmult.tv","alexa","adultmult",9,0,1,2.50325833477565
"jjlfz.com","alexa","jjlfz",5,0,0,1.92192809488736
"time4education.com","alexa","time4education",14,1,1,3.37878349348618
"banki.ru","alexa","banki",5,0,0.8,2.32192809488736
"gooniu.com","alexa","gooniu",6,0,1,2.25162916738782
"suicidegirls.com","alexa","suicidegirls",12,0,1,3.0220552088742
"porus.ru","alexa","porus",5,0,1,2.32192809488736
"techtimes.com","alexa","techtimes",9,0,1,2.72548055699787
"expensify.com","alexa","expensify",9,0,1,2.94770277922009
"goo.im","alexa","goo",3,0,1,0.91829583405449
"managebuilding.com","alexa","managebuilding",14,0,1,3.23592635062903
"ipiccy.com","alexa","ipiccy",6,0,0.833333333333333,1.91829583405449
"designbyhumans.com","alexa","designbyhumans",14,0,0.857142857142857,3.52164063634332
"wardom.org","alexa","wardom",6,0,1,2.58496250072116
"letudiant.fr","alexa","letudiant",9,0,1,2.94770277922009
"kontextua.com","alexa","kontextua",9,0,1,2.94770277922009
"wisconsin.gov","alexa","wisconsin",9,0,1,2.50325833477565
"ideal.es","alexa","ideal",5,0,1,2.32192809488736
"vr-zone.com","alexa","vr-zone",7,0,0.571428571428571,2.8073549220576
"jwplayer.com","alexa","jwplayer",8,0,0.75,3
"paymaster.ru","alexa","paymaster",9,0,1,2.94770277922009
"klip2save.com","alexa","klip2save",9,1,1,3.16992500144231
"allmenus.com","alexa","allmenus",8,0,1,2.75
"google.lu","alexa","google",6,0,1,1.91829583405449
"gamebaby.com","alexa","gamebaby",8,0,1,2.5
"ixiangyong.com","alexa","ixiangyong",10,0,1,2.72192809488736
